company,code,update_date,pdf_report
ブラジル債券オープン（毎月決算型）,E11518,2022-07-07 09:36:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569064&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O741
三井住友・米国ハイ・イールド債券・ブラジルレアルファンド,E08957,2022-07-07 09:25:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569064&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O531
三井住友・米国ハイ・イールド債券ファンド（為替ノーヘッジ型）,E08957,2022-07-07 09:21:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569064&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O6GU
損保ジャパン・エコ・オープン（配当利回り重視型）,E12434,2022-07-07 09:19:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569064&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OA40
三井住友・ＤＣターゲットイヤーファンド２０４５（４資産タイプ）,E08957,2022-07-07 09:16:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569064&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O6GO
好配当ジャパン・オープン,E12434,2022-07-07 09:14:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100ON4P
日本株厳選ファンド,E08957,2022-07-07 09:12:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O6F6
三井住友・ＤＣターゲットイヤーファンド２０３０（４資産タイプ）,E08957,2022-07-07 09:11:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O52K
ブラデスコ　ブラジル債券ファンド（分配重視型）　ブラデスコ　ブラジル債券ファンド（成長重視型）,E11518,2022-07-07 09:11:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O74J
三井住友・米国ハイ・イールド債券ファンド（為替ヘッジ型）,E08957,2022-07-07 09:10:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O52U
みずほ好配当日本株オープン（ノーロード型）,E12434,2022-07-07 09:09:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100OAPY
グローバル自動運転関連株式ファンド（為替ヘッジあり）、グローバル自動運転関連株式ファンド（為替ヘッジなし）,E08957,2022-07-07 09:07:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O6EQ
三井住友・ＤＣターゲットイヤーファンド２０４０（４資産タイプ）,E08957,2022-07-07 09:07:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569065&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O52P
三井住友・ＤＣターゲットイヤーファンド２０２０（４資産タイプ）,E08957,2022-07-07 09:05:00,https://disclosure.edinet-fsa.go.jp/E01EW/download?1657168569066&uji.bean=ee.bean.parent.EECommonSearchBean&uji.verb=W0EZA104CXP001003Action&SESSIONKEY=1657168568592&s=S100O4PY
